insertion sort,selection sort
0.006000,0.000000
0.000000,0.000000
0.010000,0.001000
0.015000,0.005000
0.021000,0.019000
0.013000,0.034000
0.024000,0.039000
0.030000,0.049000
0.032000,0.075000
0.058000,0.083000
0.060000,0.111000
0.074000,0.104000
0.079000,0.143000
0.102000,0.134000
0.127000,0.175000
0.146000,0.201000
0.158000,0.226000
0.168000,0.238000
0.207000,0.267000
0.206000,0.297000
0.230000,0.323000
0.249000,0.351000
0.283000,0.385000
0.294000,0.435000
0.314000,0.512000
0.373000,0.547000
0.408000,0.594000
0.448000,0.645000
0.472000,0.693000
0.504000,0.732000
0.536000,0.781000
0.568000,0.835000
0.612000,0.885000
0.641000,0.954000
0.676000,0.991000
0.735000,1.064000
0.770000,1.256000
0.812000,1.182000
0.850000,1.228000
0.891000,1.314000
0.930000,1.387000
0.986000,1.458000
1.064000,1.562000
1.105000,1.633000
1.159000,1.714000
1.226000,1.784000
1.274000,1.858000
1.322000,1.940000
1.374000,2.023000
1.442000,2.114000
1.490000,2.204000
1.546000,2.287000
1.612000,2.376000
1.668000,2.463000
1.738000,2.549000
1.799000,2.666000
1.869000,2.741000
1.929000,2.926000
2.010000,3.021000
2.125000,3.142000
2.172000,3.162000
2.210000,3.277000
2.276000,3.392000
2.342000,3.495000
2.423000,3.609000
2.476000,3.797000
2.646000,3.909000
2.669000,3.968000
2.773000,4.082000
2.827000,4.234000
2.892000,4.326000
3.008000,5.207000
3.283000,4.616000
3.196000,4.734000
3.233000,4.866000
4.537000,5.140000
3.472000,5.351000
3.501000,5.286000
3.599000,5.966000
5.366000,6.999000
4.395000,6.645000
4.548000,6.905000
4.642000,6.995000
4.717000,7.286000
4.808000,7.265000
4.993000,7.483000
5.089000,7.744000
5.205000,7.931000
5.353000,8.093000
5.471000,8.316000
5.534000,8.432000
5.729000,8.653000
5.869000,8.881000
5.963000,9.020000
6.067000,9.229000
6.252000,9.169000
6.113000,9.621000
6.417000,9.821000
6.540000,9.926000
6.717000,10.225000
